"","age","type_employer","fnlwgt","education","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"1",1,1,77516,1,1,1,1,1,1,2174,0,1,1,"Low"
"2",1,2,83311,1,2,2,2,1,1,0,0,2,1,"Low"
"3",1,3,215646,2,3,3,1,1,1,0,0,1,1,"Low"
"4",1,3,234721,3,2,3,2,2,1,0,0,1,1,"Low"
"5",2,3,338409,1,2,4,3,2,2,0,0,1,2,"Low"
"6",1,3,284582,4,2,2,3,1,2,0,0,1,1,"Low"
"7",1,3,160187,3,3,5,1,2,2,0,0,2,3,"Low"
"8",1,2,209642,2,2,2,2,1,1,0,0,1,1,"High"
"9",1,3,45781,4,1,4,1,1,2,14084,0,1,1,"High"
"10",1,3,159449,1,2,2,2,1,1,5178,0,1,1,"High"
"11",1,3,280464,5,2,2,2,2,1,0,0,1,1,"High"
"12",2,1,141297,1,2,4,2,3,1,0,0,1,4,"High"
"13",2,3,122272,1,1,1,4,1,2,0,0,1,1,"Low"
"14",1,3,205019,6,1,6,1,2,1,0,0,1,1,"Low"
"16",1,3,245487,3,2,3,2,4,1,0,0,1,3,"Low"
"17",2,2,176756,2,1,3,4,1,1,0,0,1,1,"Low"
"18",1,3,186824,2,1,3,5,1,1,0,0,1,1,"Low"
"19",1,3,28887,3,2,6,2,1,1,0,0,1,1,"Low"
"20",1,2,292175,4,3,2,5,1,2,0,0,1,1,"High"
"21",1,3,193524,7,2,4,2,1,1,0,0,1,1,"High"
"22",1,3,302146,2,3,5,5,2,2,0,0,2,1,"Low"
"23",1,4,76845,3,2,3,2,2,1,0,0,1,1,"Low"
"24",1,3,117037,3,2,3,2,1,1,0,2042,3,1,"Low"
"25",1,3,109015,2,3,7,5,1,2,0,0,1,1,"Low"
"26",1,1,216851,1,2,7,2,1,1,0,0,1,1,"High"
"27",2,3,168294,2,1,3,4,1,1,0,0,1,1,"Low"
"29",1,3,367260,2,3,2,1,1,1,0,0,1,1,"Low"
"30",1,3,193366,2,2,3,2,1,1,0,0,1,1,"Low"
"31",2,1,190709,6,1,7,1,1,1,0,0,1,1,"Low"
"32",2,3,266015,5,1,6,4,2,1,0,0,1,1,"Low"
"33",1,3,386940,1,3,2,4,1,1,0,1408,3,1,"Low"
"34",2,4,59951,5,2,1,4,1,1,0,0,1,1,"Low"
"35",2,1,311512,5,2,5,2,2,1,0,0,2,1,"Low"
"36",1,3,242406,3,1,3,5,1,1,0,0,1,3,"Low"
"37",2,3,197200,5,1,3,4,1,1,0,0,1,1,"Low"
"38",2,3,544091,2,2,1,3,1,2,0,0,2,1,"Low"
"40",1,2,265477,6,2,4,2,1,1,0,0,1,1,"Low"
"41",1,3,507875,3,2,3,2,1,1,0,0,1,1,"Low"
"42",1,2,88506,1,2,4,2,1,1,0,0,1,1,"Low"
"43",2,3,172987,1,2,7,2,1,1,0,0,1,1,"Low"
"44",1,3,94638,2,3,1,5,1,2,0,0,1,1,"Low"
"45",2,3,289980,2,1,3,1,1,1,0,0,1,1,"Low"
"46",1,4,337895,1,2,4,2,2,1,0,0,1,1,"High"
"47",1,3,144361,2,2,3,2,1,1,0,0,1,1,"Low"
"48",1,3,128354,4,3,2,5,1,2,0,0,1,1,"Low"
"49",1,1,101603,6,2,3,2,1,1,0,0,1,1,"Low"
"50",2,3,271466,6,1,4,1,1,1,0,0,1,1,"Low"
"51",2,3,32275,5,2,2,3,5,2,0,0,1,1,"Low"
"53",1,3,51835,8,2,4,3,1,2,0,1902,4,3,"High"
"54",1,4,251585,1,3,2,1,1,1,0,0,1,1,"High"
"55",1,2,109832,2,3,2,1,1,1,0,0,1,1,"Low"
"56",1,3,237993,5,2,7,2,1,1,0,0,1,1,"High"
