"","age","type_employer","fnlwgt","education","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"1",1,1,77516,1,1,1,1,1,1,2174,0,1,1,1
"2",1,2,83311,1,2,2,2,1,1,0,0,2,1,1
"3",1,3,215646,2,3,3,1,1,1,0,0,1,1,1
"4",1,3,234721,3,2,3,2,2,1,0,0,1,1,1
"5",2,3,338409,1,2,4,3,2,2,0,0,1,2,1
"6",1,3,284582,4,2,2,3,1,2,0,0,1,1,1
"7",1,3,160187,3,3,5,1,2,2,0,0,2,3,1
"8",1,2,209642,2,2,2,2,1,1,0,0,1,1,2
"9",1,3,45781,4,1,4,1,1,2,14084,0,1,1,2
"10",1,3,159449,1,2,2,2,1,1,5178,0,1,1,2
"11",1,3,280464,5,2,2,2,2,1,0,0,1,1,2
"12",2,1,141297,1,2,4,2,3,1,0,0,1,4,2
"13",2,3,122272,1,1,1,4,1,2,0,0,1,1,1
"14",1,3,205019,6,1,6,1,2,1,0,0,1,1,1
"16",1,3,245487,3,2,3,2,4,1,0,0,1,3,1
"17",2,2,176756,2,1,3,4,1,1,0,0,1,1,1
"18",1,3,186824,2,1,3,5,1,1,0,0,1,1,1
"19",1,3,28887,3,2,6,2,1,1,0,0,1,1,1
"20",1,2,292175,4,3,2,5,1,2,0,0,1,1,2
"21",1,3,193524,7,2,4,2,1,1,0,0,1,1,2
"22",1,3,302146,2,3,5,5,2,2,0,0,2,1,1
"23",1,4,76845,3,2,3,2,2,1,0,0,1,1,1
"24",1,3,117037,3,2,3,2,1,1,0,2042,3,1,1
"25",1,3,109015,2,3,7,5,1,2,0,0,1,1,1
"26",1,1,216851,1,2,7,2,1,1,0,0,1,1,2
"27",2,3,168294,2,1,3,4,1,1,0,0,1,1,1
"29",1,3,367260,2,3,2,1,1,1,0,0,1,1,1
"30",1,3,193366,2,2,3,2,1,1,0,0,1,1,1
"31",2,1,190709,6,1,7,1,1,1,0,0,1,1,1
"32",2,3,266015,5,1,6,4,2,1,0,0,1,1,1
"33",1,3,386940,1,3,2,4,1,1,0,1408,3,1,1
"34",2,4,59951,5,2,1,4,1,1,0,0,1,1,1
"35",2,1,311512,5,2,5,2,2,1,0,0,2,1,1
"36",1,3,242406,3,1,3,5,1,1,0,0,1,3,1
"37",2,3,197200,5,1,3,4,1,1,0,0,1,1,1
"38",2,3,544091,2,2,1,3,1,2,0,0,2,1,1
"40",1,2,265477,6,2,4,2,1,1,0,0,1,1,1
"41",1,3,507875,3,2,3,2,1,1,0,0,1,1,1
"42",1,2,88506,1,2,4,2,1,1,0,0,1,1,1
"43",2,3,172987,1,2,7,2,1,1,0,0,1,1,1
"44",1,3,94638,2,3,1,5,1,2,0,0,1,1,1
"45",2,3,289980,2,1,3,1,1,1,0,0,1,1,1
"46",1,4,337895,1,2,4,2,2,1,0,0,1,1,2
"47",1,3,144361,2,2,3,2,1,1,0,0,1,1,1
"48",1,3,128354,4,3,2,5,1,2,0,0,1,1,1
"49",1,1,101603,6,2,3,2,1,1,0,0,1,1,1
"50",2,3,271466,6,1,4,1,1,1,0,0,1,1,1
"51",2,3,32275,5,2,2,3,5,2,0,0,1,1,1
"53",1,3,51835,8,2,4,3,1,2,0,1902,4,3,2
"54",1,4,251585,1,3,2,1,1,1,0,0,1,1,2
"55",1,2,109832,2,3,2,1,1,1,0,0,1,1,1
"56",1,3,237993,5,2,7,2,1,1,0,0,1,1,2
"57",1,3,216666,3,2,3,2,1,1,0,0,1,3,1
"58",1,3,56352,6,2,5,2,1,1,0,0,1,3,1
"59",1,3,147372,2,2,1,2,1,1,0,0,1,1,1
"60",2,3,188146,2,2,3,2,1,1,5013,0,1,1,1
"61",2,3,59496,1,2,6,2,1,1,2407,0,1,1,1
"63",1,3,149640,2,2,3,2,1,1,0,0,1,1,1
"64",1,3,116632,7,2,4,2,1,1,0,0,1,1,2
"65",2,3,105598,5,3,7,1,1,1,0,0,1,1,1
"66",1,3,155537,2,2,3,2,1,1,0,0,1,1,1
"67",2,3,183175,5,3,1,1,1,2,0,0,1,1,1
"68",1,3,169846,2,2,1,3,1,2,0,0,1,1,2
"69",1,2,191681,5,2,2,2,1,1,0,0,1,1,2
"71",2,3,101509,5,1,4,4,1,1,0,0,1,1,1
"72",1,3,309974,1,3,6,4,2,2,0,0,1,1,1
"73",2,2,162298,1,2,6,2,1,1,0,0,1,1,2
"74",2,3,211678,5,1,3,1,1,1,0,0,1,1,1
"75",3,3,124744,5,2,4,6,1,1,0,0,2,1,1
"76",2,3,213921,2,1,5,4,1,1,0,0,1,3,1
"77",1,3,32214,6,2,1,2,1,1,0,0,1,1,1
"79",4,3,309634,3,1,5,4,1,2,0,0,2,1,1
"80",1,1,125927,3,2,3,2,1,1,0,0,1,1,1
"81",4,3,446839,2,1,6,1,1,1,0,0,1,1,1
"82",1,3,276515,1,2,5,2,1,1,0,0,1,2,1
"83",1,3,51618,2,2,5,3,1,2,0,0,1,1,1
"84",1,3,159937,2,2,6,2,1,1,0,0,1,1,1
"85",1,3,343591,2,3,3,1,1,2,14344,0,1,1,2
"86",1,3,346253,2,3,6,4,1,2,0,0,1,1,1
"87",1,1,268234,2,2,7,2,1,1,0,0,1,1,2
"88",1,3,202051,4,2,4,2,1,1,0,0,1,1,1
"89",2,3,54334,3,1,6,1,1,1,0,0,1,1,1
"90",1,4,410867,7,1,4,1,1,2,0,0,1,1,2
"91",1,3,249977,6,2,4,2,1,1,0,0,1,1,1
"92",1,3,286730,5,3,3,5,1,2,0,0,1,1,1
"93",2,3,212563,5,3,3,5,2,2,0,0,2,1,1
"95",1,1,226296,1,2,7,2,1,1,0,0,1,1,2
"96",2,1,115585,5,1,3,1,1,1,0,0,1,1,1
"97",1,2,191277,7,2,4,2,1,1,0,1902,4,1,2
"98",1,3,202683,5,2,6,2,1,1,0,0,1,1,2
"99",1,3,171095,6,3,2,5,1,2,0,0,1,4,1
"100",1,4,249409,2,1,5,4,2,1,0,0,1,1,1
"101",3,3,124191,4,2,2,2,1,1,0,0,1,1,2
"102",1,3,198282,1,2,2,2,1,1,15024,0,1,1,2
"103",1,2,149116,4,1,4,1,1,2,0,0,1,1,1
"104",2,3,188300,5,1,7,4,1,2,0,0,1,1,1
"105",2,3,103432,2,1,3,1,1,1,0,0,1,1,1
"106",1,2,317660,2,2,3,2,1,1,7688,0,1,1,2
"108",2,3,194901,3,1,3,4,1,1,0,0,1,1,1
"109",1,1,189265,2,1,1,1,1,2,0,0,1,1,1
"110",1,3,124692,2,2,3,2,1,1,0,0,1,1,1
"111",2,3,432376,1,1,6,6,1,1,0,0,1,1,1
"112",1,3,65324,8,2,4,2,1,1,0,0,1,1,2
"113",1,2,335605,2,2,5,2,1,1,0,1887,5,4,2
"114",2,3,377869,5,2,6,3,1,2,4064,0,2,1,1
"115",1,3,102864,2,1,3,4,1,2,0,0,1,1,1
"116",1,3,95647,3,2,3,2,1,1,0,0,1,1,1
"117",1,2,303090,5,2,6,2,1,1,0,0,1,1,1
"118",1,1,197371,6,2,3,2,2,1,0,0,1,1,2
"119",1,3,247552,5,2,6,2,1,1,0,0,1,1,1
"120",2,3,102632,2,1,3,1,1,1,0,0,1,1,1
"121",2,3,199915,5,1,5,4,1,2,0,0,1,1,1
"122",1,3,118853,1,2,2,2,1,1,0,0,1,1,1
"123",2,3,77143,1,1,2,4,2,1,0,0,1,5,1
"124",2,1,267989,1,2,4,2,1,1,0,0,1,1,2
"125",2,3,301606,5,1,5,4,2,1,0,0,1,1,1
"126",1,3,287828,1,2,2,3,1,2,0,0,1,1,2
"127",2,3,111697,5,1,1,4,1,2,0,1719,6,1,1
"128",1,3,114937,6,2,1,2,1,1,0,0,1,1,2
"130",1,3,365739,5,3,3,1,1,1,0,0,1,1,1
"131",2,3,69621,6,1,6,1,1,2,0,0,1,1,1
"132",2,3,43323,2,1,5,1,1,2,0,1762,3,1,1
"133",1,2,120985,2,2,3,2,1,1,4386,0,1,1,1
"134",1,3,254202,1,2,6,2,1,1,0,0,1,1,1
"135",1,3,146195,6,3,7,1,2,2,0,0,1,1,1
"136",1,4,125933,4,2,4,2,1,1,0,0,1,2,2
"137",1,2,56920,2,2,3,2,1,1,0,0,1,1,1
"138",2,3,163127,6,2,1,3,1,2,0,0,1,1,1
"139",2,3,34310,5,1,6,4,1,1,0,0,2,1,1
"140",1,3,81973,5,2,3,2,3,1,0,0,1,1,2
"141",5,2,66614,2,2,3,2,1,1,0,0,1,1,1
"142",2,3,232782,5,1,6,4,1,2,0,0,1,1,1
"143",2,3,316868,5,1,5,4,1,1,0,0,1,3,1
"144",1,3,196584,6,1,4,1,1,2,0,1564,3,1,2
"145",3,3,105376,5,1,7,6,1,1,0,0,1,1,1
"146",1,3,185814,2,1,3,5,2,2,0,0,1,1,1
"147",2,3,175374,5,2,5,2,1,1,0,0,2,1,1
"148",1,3,108293,2,4,5,5,1,2,0,0,2,1,1
"149",3,3,181232,3,2,3,2,1,1,0,2179,3,1,1
"151",1,1,186009,5,3,1,5,1,2,0,0,1,3,1
"152",1,3,198183,2,1,1,1,1,2,0,0,1,1,1
"153",1,3,163003,1,1,2,6,3,2,0,0,1,6,1
"154",2,3,296158,2,1,3,4,1,1,0,0,1,1,1
"156",1,3,187715,2,2,3,2,1,1,0,0,1,1,1
"157",2,3,214542,1,1,3,1,1,1,0,0,1,1,1
"158",3,2,494223,5,3,6,5,2,1,0,1816,2,1,1
"159",2,3,191535,2,3,3,1,1,1,0,0,1,1,1
"160",1,3,228456,1,3,5,6,2,1,0,0,1,1,1
"162",2,3,252752,2,1,5,5,1,2,0,0,1,1,1
"163",1,2,78374,4,3,2,5,3,2,0,0,1,1,1
"164",2,3,88419,2,1,2,1,3,2,0,0,1,4,1
"165",1,2,201080,4,2,6,2,1,1,0,0,1,1,2
"166",1,3,207157,5,3,5,5,1,2,0,0,1,3,1
"167",1,4,235485,6,1,2,1,1,1,0,0,1,1,1
"168",1,1,102628,4,4,7,5,1,1,0,0,1,1,1
"169",4,3,25828,3,1,3,4,1,1,0,0,2,1,1
"170",3,1,54826,6,4,4,1,1,2,0,0,2,1,1
"171",2,3,124953,2,1,5,1,1,1,0,1980,3,1,1
"172",2,1,175325,2,2,7,2,1,1,0,0,1,1,1
"173",1,3,96062,5,2,6,2,1,1,0,1977,3,1,2
